Tipo_Error,Archivo,Linea,Valor_Error,Descripción
Advertencia,AM,139,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,140,N06AA024011,Este valor no esta en el archivo de códigos
Advertencia,AM,141,17145-02,Este valor no esta en el archivo de códigos
Advertencia,AM,142,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,143,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,144,55500-02,Este valor no esta en el archivo de códigos
Advertencia,AM,145,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,146,19927833-03,Este valor no esta en el archivo de códigos
Advertencia,AM,147,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,148,N02AT020201,Este valor no esta en el archivo de códigos
Advertencia,AM,149,N02BA001011,Este valor no esta en el archivo de códigos
Advertencia,AM,150,19940779-01,Este valor no esta en el archivo de códigos
Advertencia,AM,151,17135-01,Este valor no esta en el archivo de códigos
Advertencia,AM,152,19908144-01,Este valor no esta en el archivo de códigos
Advertencia,AM,153,A06AB010021,Este valor no esta en el archivo de códigos
Advertencia,AM,154,19999392-03,Este valor no esta en el archivo de códigos
Advertencia,AM,155,J01DI004721,Este valor no esta en el archivo de códigos
Advertencia,AM,156,17145-02,Este valor no esta en el archivo de códigos
Advertencia,AM,157,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,158,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,159,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,160,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,161,A10BG004011,Este valor no esta en el archivo de códigos
Advertencia,AM,162,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,163,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,164,19955566-01,Este valor no esta en el archivo de códigos
Advertencia,AM,165,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,166,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,167,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,168,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,169,C03AH006011,Este valor no esta en el archivo de códigos
